species,Occurrences
peromyscus maniculatus,36603
peromyscus leucopus,20703
myodes rutilus,19017
sorex cinereus,16331
mus musculus,14354
microtus oeconomus,12230
microtus pennsylvanicus,9856
peromyscus keeni,8623
sorex monticolus,8378
dipodomys ordii,8199
martes americana,7740
dipodomys merriami,7600
odobenus rosmarus,7096
peromyscus boylii,7021
lynx canadensis,6516
myodes gapperi,6462
peromyscus truei,5390
bos bison,5089
microtus longicaudus,5007
blarina brevicauda,4941
neotoma albigula,4919
peromyscus gossypinus,4763
canis lupus,4656
canis latrans,4519
perognathus flavus,4317
artibeus jamaicensis,4310
neovison vison,4187
thomomys bottae,3968
tadarida brasiliensis,3947
artibeus lituratus,3884
peromyscus eremicus,3858
tamiasciurus hudsonicus,3816
peromyscus polionotus,3554
reithrodontomys megalotis,3525
procyon lotor,3300
glossophaga soricina,3265
microtus xanthognathus,3107
ondatra zibethicus,3059
neotoma cinerea,2881
onychomys leucogaster,2880
rattus rattus,2866
myotis lucifugus,2842
ursus americanus,2798
enhydra lutris,2753
thomomys talpoides,2739
myotis grisescens,2706
sturnira lilium,2691
reithrodontomys fulvescens,2643
eptesicus fuscus,2631
sciurus carolinensis,2631
